championName,reset,banNumber,winningPercentage,,year,teamTag
Ahri,All-Objects,1,less than 50%,,2017,SKT
Ashe,All-Objects,1,less than 50%,,2017,SKT
AurelionSol,All-Objects,7,less than 50%,,2017,SKT
Azir,All-Objects,6,less than 50%,,2017,SKT
Caitlyn,All-Objects,1,less than 50%,,2017,SKT
Cassiopeia,All-Objects,1,less than 50%,,2017,SKT
Camille,All-Objects,22,less than 50%,,2017,SKT
Ekko,All-Objects,2,less than 50%,,2017,SKT
Elise,All-Objects,8,less than 50%,,2017,SKT
Fizz,All-Objects,3,less than 50%,,2017,SKT
Gangplank,All-Objects,1,less than 50%,,2017,SKT
Grraves,All-Objects,10,less than 50%,,2017,SKT
Gragas,All-Objects,1,less than 50%,,2017,SKT
Ivern,All-Objects,1,less than 50%,,2017,SKT
Jayce,All-Objects,11,less than 50%,,2017,SKT
Jhin,All-Objects,3,less than 50%,,2017,SKT
Jinx,All-Objects,5,more than 50%,,2017,SKT
Kennen,All-Objects,10,more than 50%,,2017,SKT
Kled,All-Objects,3,more than 50%,,2017,SKT
Khaix,All-Objects,3,more than 50%,,2017,SKT
Leblanc,All-Objects,20,more than 50%,,2017,SKT
LeeSin,All-Objects,1,more than 50%,,2017,SKT
Lissandra,All-Objects,1,more than 50%,,2017,SKT
Lulu,All-Objects,6,more than 50%,,2017,SKT
Malzahar,All-Objects,18,more than 50%,,2017,SKT
Maokai,All-Objects,5,more than 50%,,2017,SKT
MissFortune,All-Objects,9,more than 50%,,2017,SKT
Orian,All-Objects,1,more than 50%,,2017,SKT
Olaf,All-Objects,2,more than 50%,,2017,SKT
Poppy,All-Objects,3,more than 50%,,2017,SKT
RekSai,All-Objects,1,more than 50%,,2017,SKT
Renekton,All-Objects,3,more than 50%,,2017,SKT
Rengar,All-Objects,9,more than 50%,,2017,SKT
Rumble,All-Objects,9,more than 50%,,2017,SKT
Ryze,All-Objects,9,more than 50%,,2017,SKT
Shen,All-Objects,10,more than 50%,,2017,SKT
Sion,All-Objects,3,more than 50%,,2017,SKT
Syndra,All-Objects,10,more than 50%,,2017,SKT
Taliyah,All-Objects,10,more than 50%,,2017,SKT
Talon,All-Objects,1,more than 50%,,2017,SKT
Thresh,All-Objects,4,more than 50%,,2017,SKT
Urgot,All-Objects,9,more than 50%,,2017,SKT
Varus,All-Objects,15,more than 50%,,2017,SKT
Zyra,All-Objects,6,more than 50%,,2017,SKT
